timestamp,Infrared to Red Signal Ratio
01/11/18 00:21:30,7
01/11/18 00:22:30,-1
01/11/18 00:23:30,-4
01/11/18 00:24:30,-1
01/11/18 00:25:30,2
01/11/18 00:26:30,0
01/11/18 00:27:32,11
01/11/18 00:28:32,-11
01/11/18 00:29:32,0
01/11/18 00:30:32,-3
01/11/18 00:31:32,-7
01/11/18 00:32:32,1
01/11/18 00:33:32,2
01/11/18 00:34:32,-1
01/11/18 00:35:32,-5
01/11/18 00:36:32,-5
01/11/18 00:37:32,-1
01/11/18 00:38:32,-22
01/11/18 00:39:32,-62
01/11/18 00:40:32,-1
01/11/18 00:41:32,6
01/11/18 00:42:32,-2
01/11/18 00:43:32,0
01/11/18 00:44:32,-5
01/11/18 00:45:31,0
01/11/18 00:46:31,1
01/11/18 00:47:31,-14
01/11/18 00:48:31,0
01/11/18 00:49:31,4
01/11/18 00:50:31,1
01/11/18 00:51:31,-1
01/11/18 00:52:31,-6
01/11/18 00:53:31,-5
01/11/18 00:54:31,0
01/11/18 00:55:31,-1
01/11/18 00:56:31,4
01/11/18 00:57:31,0
01/11/18 00:58:31,6
01/11/18 00:59:31,0
01/11/18 01:00:31,1
01/11/18 01:01:31,-27
01/11/18 01:02:31,13
01/11/18 01:03:31,-25
01/11/18 01:04:31,-1
01/11/18 01:05:33,18
01/11/18 01:06:33,-1
01/11/18 01:07:33,-7
01/11/18 01:08:33,0
01/11/18 01:09:33,-5
01/11/18 01:10:33,-1
01/11/18 01:11:33,8
01/11/18 01:12:35,0
01/11/18 01:13:35,0
01/11/18 01:14:35,-6
01/11/18 01:15:34,11
01/11/18 01:16:34,18
01/11/18 01:17:34,2
01/11/18 01:18:34,6
01/11/18 01:19:34,43
01/11/18 01:20:34,49
01/11/18 01:21:34,0
01/11/18 01:22:34,0
01/11/18 01:23:34,9
01/11/18 01:24:34,-1
01/11/18 01:25:34,34
01/11/18 01:26:34,11
01/11/18 01:27:34,1
01/11/18 01:28:34,-20
01/11/18 01:29:34,12
01/11/18 01:30:34,-17
01/11/18 01:31:34,-39
01/11/18 01:32:34,-8
01/11/18 01:33:34,-20
01/11/18 01:34:34,-9
01/11/18 01:35:34,-23
01/11/18 01:36:34,62
01/11/18 01:37:34,0
01/11/18 01:38:34,-1
01/11/18 01:39:34,-59
